,index,Date,Headline
167,167,2010-09-11,Aisam and Bopanna go down fighting
168,168,2010-09-11,Payment of compensation begins in Thatta  Mianwali
169,169,2010-09-11,Cabinet size to be reduced by December Gilani rules out army operation in Balochistan
170,170,2010-09-11,The Trickledown Revolution
171,171,2010-09-11,Official among three swept away
172,172,2010-09-11,Thousands to ‘celebrate’ Eid in the open Bridge in Dadu washed away
173,173,2010-09-11,EU move to grant trade exemptions to Pakistan
174,174,2010-09-11,Turkish girl’s gesture for flood-hit children
175,175,2010-09-11,England beat Pakistan in first one-dayer
176,176,2010-09-11,NAB revives efforts for EC’s role in fighting corruption
177,177,2010-09-11,Confusion shrouds Florida ‘desecration deal’
178,178,2010-09-11,Karzai asks Taliban to join talks
179,179,2010-09-11,Kidnappers free Qureshi but keep quiet on fate of third hostage
180,180,2010-09-11,Eid celebrated in parts of KP  Fata and Balochistan
181,181,2010-09-11,Western media hails Aisam  Bopanna as peace envoys
182,182,2010-09-12,Aisam and Bopanna go down fighting
183,183,2010-09-12,Payment of compensation begins in Thatta  Mianwali
184,184,2010-09-12,Cabinet size to be reduced by December Gilani rules out army operation in Balochistan
185,185,2010-09-12,The Trickledown Revolution
186,186,2010-09-12,Official among three swept away
187,187,2010-09-12,Thousands to ‘celebrate’ Eid in the open Bridge in Dadu washed away
188,188,2010-09-12,EU move to grant trade exemptions to Pakistan
189,189,2010-09-12,Turkish girl’s gesture for flood-hit children
190,190,2010-09-12,England beat Pakistan in first one-dayer
191,191,2010-09-12,NAB revives efforts for EC’s role in fighting corruption
192,192,2010-09-12,Confusion shrouds Florida ‘desecration deal’
193,193,2010-09-12,Karzai asks Taliban to join talks
194,194,2010-09-12,Kidnappers free Qureshi but keep quiet on fate of third hostage
195,195,2010-09-12,Eid celebrated in parts of KP  Fata and Balochistan
196,196,2010-09-12,Western media hails Aisam  Bopanna as peace envoys
197,197,2010-09-12,Eidul Fitr tomorrow  but in KP today
198,198,2010-09-12,Three towns face severe threat
199,199,2010-09-12,39 secretaries moved to Grade 22
200,200,2010-09-12,Balochistan minister escapes attack
201,201,2010-09-12,Aisam loses  but hopes pinned on today`s match
202,202,2010-09-12,PM trashes talk of revolution  army takeover
203,203,2010-09-12,Waseem Ahmed made FIA chief
204,204,2010-09-12,UN to seek $1.3bn for Pakistan
205,205,2010-09-12,Gen Majeed denies he`s seeking extension
206,206,2010-09-12,ME outraged bychurch plan
207,207,2010-09-12,Obama urges world to remember flood victims on Eid
208,208,2010-09-12,Desecration cancelled
209,209,2010-09-12,Efforts to scupper Florida pastor`s plan may succeed
210,210,2010-09-12,Kidnapped British journalist set free
211,211,2010-09-13,Aisam and Bopanna go down fighting
212,212,2010-09-13,Payment of compensation begins in Thatta  Mianwali
213,213,2010-09-13,Cabinet size to be reduced by December Gilani rules out army operation in Balochistan
214,214,2010-09-13,The Trickledown Revolution
215,215,2010-09-13,Official among three swept away
216,216,2010-09-13,Thousands to ‘celebrate’ Eid in the open Bridge in Dadu washed away
217,217,2010-09-13,EU move to grant trade exemptions to Pakistan
218,218,2010-09-13,Turkish girl’s gesture for flood-hit children
219,219,2010-09-13,England beat Pakistan in first one-dayer
220,220,2010-09-13,NAB revives efforts for EC’s role in fighting corruption
221,221,2010-09-13,Confusion shrouds Florida ‘desecration deal’
222,222,2010-09-13,Karzai asks Taliban to join talks
223,223,2010-09-13,Kidnappers free Qureshi but keep quiet on fate of third hostage
224,224,2010-09-13,Eid celebrated in parts of KP  Fata and Balochistan
225,225,2010-09-13,Western media hails Aisam  Bopanna as peace envoys
226,226,2010-09-14,Negligence at hospital blamed for death of infant
227,227,2010-09-14,ADB holds ministry  Nepra responsible for power woes
228,228,2010-09-14,15 die as Kashmiris clash with Indian forces
229,229,2010-09-14,Overflowing lake floods towns  villages
230,230,2010-09-14,Turks vote to curb military powers  reshape judiciary
231,231,2010-09-14,Musharraf raises Rs250m for flood-hit: news channel
232,232,2010-09-14,Retreat on Ground Zero mosque to fuel extremism: Imam
233,233,2010-09-14,Chief Justice to greet Musharraf on return: PM
234,234,2010-09-14,Flight delays inconvenience hundreds
235,235,2010-09-15,Value of MNAs’ assets increased three-fold in six years: Pildat
236,236,2010-09-15,16 militants killed in two drone attacks
237,237,2010-09-15,Gilani urges India to hold talks with Kashmiris
238,238,2010-09-15,Indian police open fire as Kashmiris defy curfew
239,239,2010-09-15,Judiciary has powers to keep state organs within their limits  says CJ
240,240,2010-09-15,US decided to stay engaged with Pakistan soon after 9/11
241,241,2010-09-15,Deadline nears  but govt undecided on reformed GST
242,242,2010-09-15,Balochistan minister disqualified by SC
243,243,2010-09-15,Eco-friendly blankets for flood victims
244,244,2010-09-15,Journalist gunned down in Hangu
245,245,2010-09-15,Mullah Omar is in Pakistan: French minister
246,246,2010-09-15,25 more villages in Sehwan and Johi come under water
247,247,2010-09-15,India asked to allow journalists to cover unrest in Kashmir
248,248,2010-09-16,Value of MNAs’ assets increased three-fold in six years: Pildat
249,249,2010-09-16,16 militants killed in two drone attacks
250,250,2010-09-16,Gilani urges India to hold talks with Kashmiris
251,251,2010-09-16,Indian police open fire as Kashmiris defy curfew
252,252,2010-09-16,Judiciary has powers to keep state organs within their limits  says CJ
253,253,2010-09-16,US decided to stay engaged with Pakistan soon after 9/11
254,254,2010-09-16,Deadline nears  but govt undecided on reformed GST
255,255,2010-09-16,Balochistan minister disqualified by SC
256,256,2010-09-16,Eco-friendly blankets for flood victims
257,257,2010-09-16,Journalist gunned down in Hangu
258,258,2010-09-16,Mullah Omar is in Pakistan: French minister
259,259,2010-09-16,25 more villages in Sehwan and Johi come under water
260,260,2010-09-16,India asked to allow journalists to cover unrest in Kashmir
261,261,2010-09-16,Negligence at hospital blamed for death of infant
262,262,2010-09-16,ADB holds ministry  Nepra responsible for power woes
263,263,2010-09-16,15 die as Kashmiris clash with Indian forces
264,264,2010-09-16,Overflowing lake floods towns  villages
265,265,2010-09-16,Turks vote to curb military powers  reshape judiciary
266,266,2010-09-16,Musharraf raises Rs250m for flood-hit: news channel
267,267,2010-09-16,Retreat on Ground Zero mosque to fuel extremism: Imam
268,268,2010-09-16,Chief Justice to greet Musharraf on return: PM
269,269,2010-09-16,Flight delays inconvenience hundreds
270,270,2010-09-17,Value of MNAs’ assets increased three-fold in six years: Pildat
271,271,2010-09-17,16 militants killed in two drone attacks
272,272,2010-09-17,Gilani urges India to hold talks with Kashmiris
273,273,2010-09-17,Indian police open fire as Kashmiris defy curfew
274,274,2010-09-17,Judiciary has powers to keep state organs within their limits  says CJ
275,275,2010-09-17,US decided to stay engaged with Pakistan soon after 9/11
276,276,2010-09-17,Deadline nears  but govt undecided on reformed GST
277,277,2010-09-17,Balochistan minister disqualified by SC
278,278,2010-09-17,Eco-friendly blankets for flood victims
279,279,2010-09-17,Journalist gunned down in Hangu
280,280,2010-09-17,Mullah Omar is in Pakistan: French minister
281,281,2010-09-17,25 more villages in Sehwan and Johi come under water
282,282,2010-09-17,India asked to allow journalists to cover unrest in Kashmir
283,283,2010-09-23,Pakistan’s plea for enhanced access to western markets
284,284,2010-09-23,PPP mulls over parting ways with MQM
285,285,2010-09-23,Govt  opposition at one in warning plotters
286,286,2010-09-23,Increase in military spending needed for major operation  IMF told: Uplift spending cut  defence budget hiked
287,287,2010-09-24,Pakistan’s plea for enhanced access to western markets
288,288,2010-09-24,PPP mulls over parting ways with MQM
289,289,2010-09-24,Govt  opposition at one in warning plotters
290,290,2010-09-24,Increase in military spending needed for major operation  IMF told: Uplift spending cut  defence budget hiked
291,291,2010-09-25,Pakistan’s plea for enhanced access to western markets
292,292,2010-09-25,PPP mulls over parting ways with MQM
293,293,2010-09-25,Govt  opposition at one in warning plotters
294,294,2010-09-25,Increase in military spending needed for major operation  IMF told: Uplift spending cut  defence budget hiked
295,295,2010-09-27,Companies allowed to purchase power from small producers
296,296,2010-09-27,70 face the axe
297,297,2010-09-27,All eyes on the Supreme Court: A day of thrilling developments likely
298,298,2010-09-27,NRO beneficiaries to be sacked: PM
299,299,2010-09-27,US copters kill 30 inside Pakistan
300,300,2010-09-27,Jewish activists set sail for Gaza
301,301,2010-09-27,Altaf accuses foreign powers of plotting to eliminate him
302,302,2010-09-27,Muslim states must resist Islamophobia in West: OIC
303,303,2010-09-27,Stakeholders not consulted by India  says Mirwaiz
304,304,2010-09-27,`I`ll clean toilets myself`
305,305,2010-09-27,Protesters block trains at Kotri
306,306,2010-09-27,3 drone strikes in N. Waziristan; 12 killed
307,307,2010-09-27,Obama aide on Afghan policy: Drawdown of troops next year to be `real`
308,308,2010-09-27,India struggles to ready Games Village in time
309,309,2010-09-27,US seeks BD troops
310,310,2010-09-27,UK woman aid worker abducted in Afghanistan
311,311,2010-09-28,NRO verdict must be implemented without any excuse: CJ
312,312,2010-09-28,Beneficiaries` list rejected
313,313,2010-09-28,Accord to protect democratic process gives govt two weeks to rethink its NRO strategy BACK FROM THE BRINK
314,314,2010-09-28,New UN envoy to Pakistan
315,315,2010-09-28,Pakistan to head governing board of IAEA
316,316,2010-09-28,OIC seeks UN support for report on Israeli attack
317,317,2010-09-28,Israel vows to stop Jewish Gaza-bound boat
318,318,2010-09-28,371 lawmakers submit details of assets
319,319,2010-09-28,A short  silent MNAs` march for Aafia
320,320,2010-09-28,Court never summoned Senator Rabbani  says CJ
321,321,2010-09-28,Video shows Taliban `stoning` woman
322,322,2010-09-28,Fresh proposals sent to India: Qureshi
323,323,2010-09-28,Isaf air attack on Kurram; 6 killed
324,324,2010-09-28,Gwadar Port Authority paid Rs32m since 2008  NA told
325,325,2010-09-28,Protests in Senate against intrusion by Nato copters
326,326,2010-09-29,Court seeks details of written-off loans
327,327,2010-09-29,US blames `communication breakdown` for attacks by Nato helicopters
328,328,2010-09-29,`International forces whipping up storm`
329,329,2010-09-29,Legislation on new GST in a couple of days
330,330,2010-09-29,Gen Wyne new JCSC chairman
331,331,2010-09-29,Al Qaeda`s regional chief killed
332,332,2010-09-29,No need for a summary now: Stance on Swiss cases after SC review: PM
333,333,2010-09-29,India objects to US arms supplies to Pakistan
334,334,2010-09-29,Raisani bans transfers and postings
335,335,2010-09-29,Govt to seek more time for naming NAB chief: Opposition rejects govt`s nominees
336,336,2010-09-29,Outstanding issues need to be resolved  says Qureshi
337,337,2010-09-29,Afghan pullout to hurt Pakistan  India: Obama
338,338,2010-09-29,Altaf urges govt action to secure Aafia`s release
339,339,2010-09-30,Talks only when India ready to discuss all issues: Pakistan
340,340,2010-09-30,India tense on eve of Babri Mosque ruling
341,341,2010-09-30,President calls for flood tax
342,342,2010-09-30,US urges Pakistan to tax the wealthy
343,343,2010-09-30,Discount rate raised to 13.5pc
344,344,2010-09-30,Pity and some doubts about Aafia in NA
345,345,2010-09-30,SBP protecting influential debtors: court
346,346,2010-09-30,Omar not in Balochistan  says Raisani
347,347,2010-09-30,Ijaz takes back words against England team
348,348,2010-09-30,Meeting with Qureshi was not on cards: Krishna
349,349,2010-09-30,CIA chief arrives
350,350,2010-09-30,Al Qaeda commander killed: Nato
351,351,2010-09-30,Rao Sikandar Iqbal dies
352,352,2010-09-30,Army rejects reports of Europe plots
353,353,2010-09-30,12 federal secretaries transferred
354,354,2010-09-30,Reformed GST to cause price hike of 15-17pc
355,355,2010-10-01,Ruling stops Muslims from rebuilding Babri Mosque Court orders Muslims  Hindus to share Ayodhya site
356,356,2010-10-01,Oil prices cut slightly
357,357,2010-10-01,Tankers hit
358,358,2010-10-01,3 personnel killed in Kurram Agency Nato supply line blocked after attack on post
359,359,2010-10-01,CIA chief takes tough line on drone hits
360,360,2010-10-01,Judgment in 18th Amendment case reserved
361,361,2010-10-01,Lt-Gen Waheed Arshad new CGS
362,362,2010-10-01,MQM opposes govt plan to impose flood tax
363,363,2010-10-01,Degrees of 7 lawmakers found fake  says HEC
364,364,2010-10-01,Tough US warning on militant attacks into Afghanistan
365,365,2010-10-01,Reformed GST put off for a month
366,366,2010-10-01,US incursions opposed
367,367,2010-10-01,Govt gets more time to name NAB chief
368,368,2010-10-02,Pepco wound up; tariff raised 2pc
369,369,2010-10-02,`Other options` if Nato strikes go on: PM
370,370,2010-10-02,Musharraf apologises for mistakes  launches party
371,371,2010-10-02,29 Nato tankers set ablaze
372,372,2010-10-02,Moves afoot to defuse crisis Petraeus calls Kayani  regrets strikes
373,373,2010-10-02,Nine killed in Kashmir
374,374,2010-10-02,Weapons used to kill Imran
375,375,2010-10-02,Munter gets confirmation as new envoy to Pakistan
376,376,2010-10-02,US supports civilian govt in Pakistan  says official
377,377,2010-10-02,Rabbani joins walkout over NAB Ordinance
378,378,2010-10-02,$450m WB loan for relief  roads
379,379,2010-10-02,Marvi moves SC against Sindh dyke breaches
380,380,2010-10-02,EU doubles flood aid to 150m euros
381,381,2010-10-02,Nato attack row not to affect ties: Holbrooke
382,382,2010-10-02,We know how to fight for democracy: Zardari
383,383,2010-10-03,SC warns against vilifying judges
384,384,2010-10-03,Zaffar Abbas takes over as Editor tomorrow
385,385,2010-10-03,Nato`s stolen combat material seized near Islamabad
386,386,2010-10-03,SC takes notice of police action
387,387,2010-10-03,Lawyers  police in pitched battles: Bench-bar gulf widens
388,388,2010-10-03,Moderate scholar Dr Farooq shot dead in Mardan
389,389,2010-10-03,N. Waziristan drone attacks kill 15
390,390,2010-10-03,Thar Express breaks down in India; 306 on board
391,391,2010-10-03,18 militants killed in Kurram
392,392,2010-10-03,Iran claims arresting `nuclear spies`
393,393,2010-10-03,Bank unions call for lifting of restrictions on activities
394,394,2010-10-03,Qureshi to meet Rasmussen
395,395,2010-10-03,Officials inspect post hit by Nato
396,396,2010-10-04,US  Pakistan to resolve differences soon: Mullen
397,397,2010-10-04,Torkham border to reopen quickly: Pakistan Officials sent to Afghanistan for Nato intrusion probe
398,398,2010-10-04,Three killed in attack on Nato tankers
399,399,2010-10-04,Gilani hints at `difficult` decisions
400,400,2010-10-04,Govt studying future plan without IMF
401,401,2010-10-04,Faisal Shahzad faces sentencing
402,402,2010-10-04,Weightlifting team threatens to quit games over flag row
403,403,2010-10-04,Zardari  Fazl discuss relief operations
404,404,2010-10-04,US  UK raise terrorism threat level for Europe
405,405,2010-10-04,PML-Q seeks protected status for Pakistanis in US
406,406,2010-10-04,Troubled Commonwealth Games come alive
407,407,2010-10-04,`Al Qaeda suspect` tells court he`s govt agent
408,408,2010-10-04,Census shows over 1m species inhabit oceans
409,409,2010-10-04,Three more arrested in Nato equipment case
410,410,2010-10-04,Afghanistan bans Blackwater  7 other firms
411,411,2010-10-04,More dam water released to cut loadshedding
412,412,2010-10-05,US hopes for quick reopening of route
413,413,2010-10-05,Two trailers torched  man killed
414,414,2010-10-05,Nato apologises but standoff continues
415,415,2010-10-05,20 000MW need to be added in 10 years
416,416,2010-10-05,Eight `German militants` killed in drone attack
417,417,2010-10-05,Bench-bar row intensifies in Lahore
418,418,2010-10-05,Confusion over flood tax
419,419,2010-10-05,Educationist shot dead in Khuzdar
420,420,2010-10-05,2 bills adopted in NA with consensus PML-N walks out after spat on ordinance
421,421,2010-10-05,Pakistani woman killed in Italy
422,422,2010-10-05,Poor father seeks justice for daughter killed by husband
423,423,2010-10-05,US needs Pakistan for honourable exit from Afghanistan: Stratfor
424,424,2010-10-05,Taliban claim responsibility for Nato tanker attack
425,425,2010-10-05,Incursion footage belies Nato claim
426,426,2010-10-05,`Test-tube baby` pioneer wins Nobel
427,427,2010-10-05,Floods have hit food supply to Afghanistan
428,428,2010-10-05,SC forms committee to resolve bench-bar dispute in Lahore
429,429,2010-10-06,Zardari wants adequate funding for vital uplift projects
430,430,2010-10-06,Faisal Shahzad sentenced to life in prison
431,431,2010-10-06,Report on Kurram incursion Pakistan asks Nato to accept responsibility
432,432,2010-10-06,152 trailers  oil tankers detained at Chaman border
433,433,2010-10-06,Punjab Assembly urges centre to build consensus on Kalabagh dam
434,434,2010-10-06,Devolution deadline to be met: commission
435,435,2010-10-06,Two troops killed in Waziristan bomb blast
436,436,2010-10-06,Shiv Sena opposes TV show featuring Pakistanis
437,437,2010-10-06,Blast damages oil tanker near Torkham border
438,438,2010-10-06,Jamia Binoria teacher shot dead
439,439,2010-10-06,US forces to stay till 2014: Obama
440,440,2010-10-06,US withdraws planes from relief work in flood-hit areas
441,441,2010-10-06,NAB`s sacked official still enjoying perks  privileges
442,442,2010-10-06,India starts removing bunkers in Kashmir
443,443,2010-10-06,Nepotism alleged in hiring of Foreign Office lower staff
444,444,2010-10-06,Wonder carbon pioneers win Physics Nobel
445,445,2010-10-06,Charges to shoot up
446,446,2010-10-06,Amendment to empower Nepra to impose tariff
447,447,2010-10-07,US apologises at last for Kurram intrusion
448,448,2010-10-07,Two drone strikes in N. Waziristan kill 11
449,449,2010-10-07,Over 50 tankers torched in Quetta  Nowshera
450,450,2010-10-07,Cost of five small dams goes up by 180pc in a year
451,451,2010-10-07,Gilani asks NA to leave Musharraf `to himself`
452,452,2010-10-07,Ban explains why UN is unable to resolve Kashmir issue
453,453,2010-10-07,CJ calls it `judicial constitutionalism`
454,454,2010-10-07,Court questions `high cost` of rental power plants
455,455,2010-10-07,Malik urges India to allow Mumbai probe team`s visit
456,456,2010-10-07,US marks Pakistan`s gains and losses
457,457,2010-10-07,Competition law comes into force
458,458,2010-10-07,White House supporting Kabul contacts with Mullah Omar`s men
459,459,2010-10-07,Cabinet approves Afghan transit trade agreement
460,460,2010-10-07,Aleem Dar wins ICC award for 2nd year
461,461,2010-10-08,Lonesome PML-N boycott against job bill
462,462,2010-10-08,EU proposes concessions to Pak exports
463,463,2010-10-08,Two children among eight dead in blasts at Abdullah Shah Ghazi`s mazar: Landmark Karachi shrine attacked
464,464,2010-10-08,Fresh attack kills 4
465,465,2010-10-08,Kashmir didn`t merge with India  says Abdullah
466,466,2010-10-08,Drone strikes a violation of sovereignty  says FO
467,467,2010-10-08,IMF calls for debate on reforms in Pakistan
468,468,2010-10-08,Gas prices may rise five times
469,469,2010-10-08,Interpol notice for two army officers
470,470,2010-10-08,RPPs hired in 2007 produced nothing  got $216m: Faisal
471,471,2010-10-08,Haqqanis in direct talks with Kabul  indirect contact with US
472,472,2010-10-08,President shelves small dam projects
473,473,2010-10-09,Baby suffering from polio found in Khairpur
