Date,Combined_News
2019-01-11,"Former Nissan chief hit with more charges, release unlikely,Market watch: KSE-100 finishes in red, retreats 41 points,Government urged to avoid tough IMF conditions,Virgin Atlantic consortium agrees to buy Flybe,India allows Pakistan to visit controversial dam sites,Emirates offers special faresÿ,NBP starts biometric verificationÿ,IMC wins Global Network awardÿ,New acting heads of SNGPL, SSGC appointed,Alipay?s worldwide users exceed 1 billion,Regulatory duty hurts Sri Lanka?s exports,Auto sales grow in Dec for first time in 12 years,Remittances fall due to global economic slowdown,CDWP fails to set revised cost of Nai Gaj dam,Trade deficit shrinks 5% to $16.8b as imports go down,Foreign debt, declining reserves pose major challenges: Moody?s,?Homegrown? IMF loan alternatives in offing, New charges filed allege that under-reporting continued for another three years,Benchmark index decreases 0.11% to settle at 39,049.08,LCCI official says such constraints will shrink the economy and increase unemployment,Flybe had put itself up for sale after hit from weak demand, rising fuel costs, struggling pound, Brexit turmoil ,A nine-member team to visit Pakal Dul, Lower Kalnai projects from Jan 27 till Feb 1,Emirates offers baggage allowance of 35Kg in economy class, 40Kg in business class, 50Kg in first class,Step taken under directives of the State Bank of Pakistan,Award given for full compliance with ten principles of United Nations Global Compact ,Earlier, government removed the MDs following acute gas shortage in country,Users in nine countries, regions have access to Alipay?s mobile payment system,Consul general calls Pakistan?s trade policies uncertain,On year-on-year basis, sales inch up 1% to 19,423 units in the month,Drop comes despite rupee depreciation, crackdown on illegal channels
,Recommends the project for Ecnec?s approval a day before end of Supreme Court?s deadline,Finance ministry says policy measures have helped narrow the deficit, curtail imports,Rating agency already downgraded Pakistan last June,The five-year plan is an alternative to the three-year plan being discussed with the global lender"
2019-01-12,"OPEC is not the enemy of the US, UAE minister says,26 seed companies qualify for bidding to produce seed varieties,'Mini-budget to focus on ease of doing business',Allied Bank signs agreement with IBM,President briefed on ombudsman secretariat?s performance ÿ,HVACR to hold 26th expoÿ,Week-On-Week: SPI increases 0.4%ÿ,Rupee stable against dollarÿÿ,TDAP will help in organising solo exhibitions,China wants to buy cherries, potato and wheat from Pakistan,After nine years, offshore drilling begins in Karachi ultra-deep waters,Planning complete for making first IT city in Karachi,Govt mulls over plan to build underground gas storages,India uses FATF review to push political agenda against Pakistan,Reconstituted NFC to slash provincial shares,Islamabad, Riyadh likely to seal $10b refinery deal,July-December 2018: FBR misses half year tax collection target by Rs172b, Omani minister expects oil price between $60 and $80 a barrel in 2019,Agriculture research institute developed seeds that are high yielding and disease-resistant,In 21st century, wheel of economy is set in motion by private sector instead of governments: Asad Umar,'Allied Bank is continuously investing in the technologies of the future',Paracha assured the president the insurance ombudsman endorsed the government?s vision for timely and speedy justice, At least 70% manufactures participating in the exhibition are international, while locals are only 30%,During the week, average prices of 24 items rose in a selected basket of goods, prices of four items fell,Cumulatively, the rupee has lost 31.8% of its value in the last 13 months,The suggestions would be discussed with the adviser prior to being placed before PM,Chinese envoy says he will invite experts to monitor hybrid rice seed expertise of China,ExxonMobil is drilling some 280km away from coast to find huge oil and gas deposits,IT minister says their are ongoing talks with Korea to construct project,Facilities will be used to store gas that is not immediately marketable,Pakistan confident of passing first review,Ministry notifies new 10-member commission,Saudi Energy Minister Khalid al-Falih to arrive in Pakistan today,Contrary to PTI?s promises, share of direct taxes in overall collection decreases 37%"
2019-01-13,"Cash-strapped PIA discontinues Tokyo flights,China will tackle US trade dispute in 2019: minister,Blockchain can transform real estate and education system,Divided house: Asad Umar faces party pressure ahead of mini-budget,KSE-100 jumps 1,502 points in outgoing week,Pakistan may suffer worst gas crisis in coming years,Pakistan proposes study of Jhelum river cascade, PIA spokesperson says decision taken in view of annual loss of Rs300m on route,We will properly handle the China-US economic and trade frictions, says Zhong,Will help exclude role of central body and middlemen,Finance minister says government is working to incentivise investment, discourage extravagant consumption,Increase comes on back of assistance from UAE and encouraging remarks from FATF,PTI govt looks to complete gas schemes initiated by its predecessor,Development comes amid growing focus on building dams to thwart drought"
2019-01-14,"SBP expands scope of financial literacy programme,Foreign investors poured Rs20b into socio-economic development in 2018,Market watch: KSE-100 advances after Asad Umar's reassurances,Alternative power policy likely in 2 months,Turkish lira weakens after Trump comment on economic devastation,New hopes of entrepreneurship arise in Balochistan,Farmers ? a neglected lot for decades,Country needs better kinnow varieties to compete globally,Focus on financial inclusion vital to boost economic activity,LNG importers partly blamed in report on gas crisis,Poverty and economic growth: the case of Pakistan, Will launch media campaign to create awareness of the initiative,Invest over $2.7 billion in Pakistan during the year,Benchmark index increases 363.47 points to settle at 39,412.55,Minister says court will take decision on previous power deals,Lira lost nearly 30% of its value against the dollar last year,Entrepreneurs should be engaged for vocational training and other services,Policies of successive govts have been pro-industry whereas growers have suffered,Seedless varieties will lead to sustainable production and help enhance trade,Compared to other developing economies, Pakistan lags far behind,Says lack of coordination amongst them led to shortfall,Some studies show sustained economic growth can pull countries out of poverty"
2019-01-15,"Large number of Chinese investors to arrive soon,Market watch: KSE-100 advances ahead of mini-budget announcement,Facebook to invest $300 million in news business,Volkswagen, Ford announce alliance centered on vans, pickups,Sterling slips off multi-week high, volatility spikes before Brexit vote,BOK opens day care centre at Peshawar head officeÿ,Rupee stable against dollarÿÿ,China to frame policies to boost foreign investment,Turkish companies keen to invest in Pakistan Railways,PIA?s revival a daunting challenge, says CEO,Govt may lift restriction on late filers of tax returns,PM Imran looks to secure LNG on credit from Qatar,After 18th amendment: Can Centre ask provinces on actions to end hunger?, Groundbreaking of Gwadar projects to be held this year,Benchmark index increases 201.63 points to settle at 39,614.18,Investment is aimed at helping newsrooms in US, abroad create viable business models to survive,Partnership will not involve merger or equity stakes,Markets brace for parliament to give the thumbs-down to Prime Minister Theresa May's Brexit deal,The centre will provide supervision and care for infants and young children during office hours,Cumulatively, the rupee has lost 31.8% of its value in the last 13 months,Minister says govt will help foreign companies address difficulties with investing in China,Entity is widening network and pressing ahead with international joint ventures: minister,Reveals strategy has been evolved to turn around fortunes; studies revival plans of foreign airlines,Move aimed at giving a boost to realty and automobile sectors,Will also seek downward revision in gas import price during Doha?s trip,Parliamentary secretary on planning stresses federation can inquire its units about SDGs implementation"
2019-01-16,"Govt offers to release confiscated cellphones after payment of duty, fine,Sindh, SECP to set up business registration portal,Market watch: KSE-100 sheds 342 points as investors resort to profit-taking,China turns to driverless tractors, combines to overhaul agriculture,Brexit deal defeat knocks London's blue chip stocks as pound weighs,German business warns of Brexit 'chaos',Qatar expresses interest in CPEC, investment in Gwadar,Auto industry seeks incentives in new policy,Malaysia wants to import Halal foodÿ,LCCI seeks withdrawal of higher feesÿ,Rupee strengthens against dollarÿ,Portal for IMEI registration to be rolled out by Jan 25,PM aide for speedy appointment of CEOs,Govt likely to swiftly phase out super tax on companies,Headcount for differently-abled to be included in PSLM questionnaire,PIA incurring Rs3b loss every month, says CEO,Work on splitting power companies under way,Commerce ministry, PPRA oppose oil credit facility,ECC approves major changes to import, export policies, Only PTA-approved handsets will be used in the country,It will facilitate entrepreneurs, improve ease of doing business,Benchmark index decreases 0.86% to settle at 39,271.94,Shift to automation is key for the farming sector of the world's second largest economy,A loss had largely been priced in already, though magnitude of loss came as surprise,Says it will cause massive disruption to trade, after overwhelmingly vote to reject EU withdrawal deal,Qatar plans to invest in food storage facilities in Gwadar,Says weakening vehicle sales is a cause for concern.,The delegation was representing various sectors, including glass, timber and Halal food,LCCI president laments that industry could not afford a rise, which is bound to jack-up the cost of doing business,Cumulatively, the rupee has lost 31.8% of its value in the last 13 months,Khalid said people are facing immense difficulties pertaining to mobile registration,Emphasises need for turning around enterprises, ensuring efficiency,May remove 10% additional tax on the companies keeping over 60% of profit for re-investment,Minister underlines need for devising a strategy for automation of data collection,Strategic business plan for revival of national flag carrier to be submitted in March,Senate body takes notice of K-Electric?s failure to install time-of-use meters,Says Petroleum Division has not taken their input on the proposal,Allows replacement of the sponsor of 300MW Gwadar power plant of CPEC"
2019-01-17,"India's e-commerce curbs can reduce online sales by $46b: PwC analysis,SBP reserves fall 2.09%, go below $7b mark,Market watch: KSE-100 ends almost flat amid mini-budget uncertainty,Oil slips on near-record US production, demand fears,Representation in policymaking soughtÿ,FPCCI for resolving GIDC issueÿ,Rupee weakens against dollarÿÿ,Engro Polymer raises Rs8.75b through Sukuk issue,ExxonMobil invited to start onshore exploration as well,Pakistan?s reliance on imported cotton on the rise,Auditors refuse to endorse PIA?s financial statements,Govt determined to lift trade relations with all neighbours: Asad Umar,Foreign direct investment in Pakistan hits six-month high,Russia ready to invest $2b in energy projects,New five-year plan faces hard choices, Announced in Dec, new rules are seen as an attempt by PM Modi to appease small businesses,Drop comes due to external debt servicing, other official payments,Benchmark index edges down 0.07% to settle at 39,243.89,Investors appear loath to push crude higher without evidence US, China improving ties,Hyder said that the business community had a great combination of fertile ideas both for businesses and economy,Misuse of GIDC resulted in increased cost of doing business for the domestic industries,Cumulatively, the rupee has lost 31.8% of its value in the last 13 months,With the financing, the company will expand PVC production plant,US company is already searching for hydrocarbons in an offshore well,Cotton imported from the US has helped textile industry cope with challenges,Refusal comes due to missing record; PIA denies, saying auditors are still working,Says prime minister has already taken initiative to develop trade relationship with India,FDI increases 17% to $319.2m in December 2018,State-run Inter RAO Engineering held meeting with Wapda, power minister in November,Planning Ministry in process of finalizing 12th Five Year Plan."
2019-01-18,"IMF assistance: Talks with Pakistan focus on policy priorities, reforms,16,000 FIRs registered over electricity theft,Meeting in PSX: Canada seeks partnership with Pakistani businessmen,Market watch: Stocks gain 63 points in see-saw session,Deutsche and Commerzbank: a marriage of (in)convenience?,Saudis cut, Russians hiked output ahead of pact: IEA,'China has no concerns over Saudi oil refinery in Gwadar',Early completion of CPEC to bring socio-economic opportunities: PM Imran,Power ministry strives to raise renewable energy share to 30%,Petroleum minister hints at building LNG storage,Nigerian envoy for exploiting untapped trade potential,FBR to get access to citizens? family tree,PTI govt to fight spectre of power outages,Current account deficit widened 37% in Dec 2018,Textile industry likely to get higher import orders from US,On withdrawal: FBR to waive withholding tax on remittances,China expresses interest in importing Pakistani potatoes,US-based Cargill to invest $200 million in Pakistan,PTI sees minimal current account gap by end of term,?Sindh given complete share in NFC Award?, Fund says Islamabad implements its recommendation of e-GDDS,PAC panel asks Power Division to submit data of distribution companies,Canada High Commissioner Wendy Gilmour visited the Pakistan Stock Exchange (PSX) on Friday,Benchmark index rises 0.16% to settle at 39,306.50,Finance ministry states German govt open to economically sensible options,OPEC members along with allies, including Russia, agreed in early Dec to trim production by 1.2 mbd from Jan 1,Petroleum minister Ghulam Sarwar Khan says China has welcomed KSA?s participation in CPEC,Premier reviews CPEC project development,Chinese envoy says investors closely following Pakistan?s power-sector policies,It will help in refining and storing imported oil for transportation to China,Diplomat calls on businesses of two sides to collaborate in diverse fields,Asad Umar asks NADRA chairman to cooperates with tax authorities,Policymakers say existing power generation plan can?t cater to the rising electricity demand,It is likely to push policymakers to raise interest rate, let the rupeeÿ depreciate more,US-China tariff war provides opportunity to Pakistan?s industry to raise exports,Board asked to resolve issues faced by overseas Pakistanis,It comes at a time when domestic farmers are facing crisis and demanding subsidy,PM Khan says efforts under way to improve ease of doing business,Lower deficit requires a 100% increase in savings which seems unrealistic,Finance ministry states Rs275.2b released to province in first half of FY19"
2019-01-19,"Malaysia keen to invest in infrastructure, housing,Pakistan to cross $25b export target, stresses Dawood,Canada pours cold water on free trade with China,A month into US govt shutdown, the economy blinks first,PM's commerce advisor impresses need for import-substitution policy,Commerce ministry framing tariff policy ÿ,Week-On-Week: SPI decreases 0.21%ÿ,Rupee strengthens against dollarÿÿ,Mills asked to use Danish water treatment technology,Govt may abolish tax on cash withdrawal from banks,RLNG supply to industries reduced,Ikram Sehgal takes over as K-Electric chairman,PIA aims to capture slots left by Emirates,PTI govt to expeditiously pursue IP gas pipeline project,Economic framework to be unveiled on January 23,K-Electric?s performance improved in FY17: NEPRA,Delay: SEZs unlikely to be ready for investment for two more years, Pakistan has been an important customer of Malaysian palm oil since the 1970s,Says govt opts for import substitution to push economy forward,Exploratory talks on free trade are dead, unlikely to be revived, says envoy,Americans have less confidence in the economy's strength in 2019 as survey numbers drop,We've gone from exporting to importing raw cotton, says Dawood,Policy would aim to encourage value-added exports of the country,During the week, average prices of 17 items rose in a selected basket of goods,Cumulatively, the rupee has lost 31.8% of its value in the last 13 months,It will help overcome potential hazards from untreated industrial waste,KCCI delegation gives proposals for upcoming mini-budget,'Relevant stakeholders are informed that the RLNG cargo of PSO could not be moored on January 17 owing to low tides',With the development, K-Electric?s stake sale to China?s firm may be accelerated,National flag carrier?s spokesperson says it is adopting new strategies,Policymakers say 18th Amendment a major cause of slow oil and gas exploration activities,Stabilisation programme will aim to put economy on recovery path,Duration of loss of supply fell by 29% over FY16 and 33.01% over FY15,BOI, planning ministry brief PM on implementation status of CPEC projects"
2019-01-20,"'CPEC economic zones will help bridge trade deficit of $9b',Information minister visits Indus Motor,Weekly review: KSE-100 index posts gains  for third successive week,Some FBR, PRAL officials issue fake NTNs,Pakistan introduces first business robot journalist,Two LNG ships dock at port simultaneously,World Bank rates progress on Dasu project as 'moderately unsatisfactory',New routes: PIA to start direct flights to Paris, Barcelona from Sialkot, Pakistan will adopt Chinese model to eliminate poverty in country, says federal minister,Fawad visited the Indus Motor Company for planting a tree under IMC?s million-tree plantation campaign,Benchmark index increases 258 points as investors await mini-budget announcement,Ombudsman seeks detailed reply from FBR on the accusation,It will write and publish comprehensive report on stocks traded at PSX,It will help address emerging gas crisis in Punjab,Pakistan fails to resolve issues, which will push completion period beyond 2021,Plans to close all unprofitable routes, goes for revamp by adopting new strategies"
2019-01-21,"Govt to install 0.1m digital meters by Feb-end,5G park launched in east China,Market watch: KSE-100 gains 237 points, led by auto, oil, bank,Data dependent? Five questions for the ECB,Bureaucracy ? a hurdle to public-private partnerships,Govt may do away with inefficient plants,Gwadar master plan delay upsets Chinese,Cost of trade between South Asian countries much higher,Stringent condition: New regulation requires refineries to modernise,Pakistan must push trade, shun protectionism, Will extend smart metering project to cover the entire country,It is the first park completely covered by 5G, provides conditions for technology research,Benchmark index rises 0.6% to settle at 39,543.77,Bank's chief is likely to be pressed on how central bank will address further economic weakness,PPP model can be very effective as it provides private capital and expertise,Should also plug leakages, reduce T&D losses to heal the ailing sector,Say any extra cost thus arising to be borne by the government,Tariff, non-tariff barriers, sensitive lists inhibit intra-regional trade,Compliance with IMO 2020 convention will involve significant costs for refining, shipping industries,Should not go back to half-century-old mantra of import substitution"
